Price Period,Town,Super,Diesel,Kerosene
15th August 2022 - 14th September 2022,Kaiboi,159.58,140.77,128.73
15th August 2022 - 14th September 2022,Kiminini,160.07,141.27,129.21
15th August 2022 - 14th September 2022,Endebes,160.43,141.61,129.57
15th August 2022 - 14th September 2022,Saboti,160.1,141.29,129.25
15th August 2022 - 14th September 2022,Chepareria,160.73,141.93,129.87
15th August 2022 - 14th September 2022,Lomut,162.35,143.53,131.49
15th August 2022 - 14th September 2022,Burgich,161.15,142.34,130.29
15th August 2022 - 14th September 2022,Sigor,161.28,142.47,130.42
15th August 2022 - 14th September 2022,Lodwar,163.71,144.9,132.85
15th August 2022 - 14th September 2022,Kakuma,165.3,146.49,134.44
15th August 2022 - 14th September 2022,Lokichar,162.71,143.9,131.85
15th August 2022 - 14th September 2022,Kalokol,164.47,145.66,133.61
15th August 2022 - 14th September 2022,Lokori,163.07,144.27,132.22
15th August 2022 - 14th September 2022,Lokitaung,167.35,148.55,136.49
15th August 2022 - 14th September 2022,Kapedo,162.35,143.53,131.49
15th August 2022 - 14th September 2022,Malaba,160.7,141.88,129.84
15th August 2022 - 14th September 2022,Lokichogio,166.48,147.68,135.63
15th August 2022 - 14th September 2022,Ziwa,159.72,140.91,128.87
15th August 2022 - 14th September 2022,Soy,159.53,140.72,128.67
15th August 2022 - 14th September 2022,Moi's Bridge,159.59,140.78,128.74
15th August 2022 - 14th September 2022,Turbo,159.48,140.67,128.62
15th August 2022 - 14th September 2022,Kibish,167.59,148.77,136.73
15th August 2022 - 14th September 2022,Nakalale,166.41,147.6,135.55
15th August 2022 - 14th September 2022,Loima,162.82,144.02,131.97
15th August 2022 - 14th September 2022,Lokiriama,164.39,145.59,133.53
15th August 2022 - 14th September 2022,Kainuk,161.6,142.79,130.74
15th August 2022 - 14th September 2022,Kacheliba,160.92,142.12,130.07
15th August 2022 - 14th September 2022,Kiwawa,161.54,142.72,130.68
15th August 2022 - 14th September 2022,Ortum,161.12,142.31,130.26
15th August 2022 - 14th September 2022,Kachibora,159.92,141.1,129.06
15th August 2022 - 14th September 2022,Kwanza,160.63,141.82,129.78
15th August 2022 - 14th September 2022,Kaplamai,159.94,141.14,129.08
15th August 2022 - 14th September 2022,Eldama Ravine,160.36,141.55,129.51
15th August 2022 - 14th September 2022,Tenges,160.5,141.69,129.65
15th August 2022 - 14th September 2022,Barwessa,160.62,141.81,129.75
15th August 2022 - 14th September 2022,Kipsaraman,161.52,142.71,130.66
15th August 2022 - 14th September 2022,Loruk,161.39,142.58,130.53
15th August 2022 - 14th September 2022,Kabartonjo,160.36,141.55,129.51
15th August 2022 - 14th September 2022,Tindiret,160.43,141.61,129.57
15th August 2022 - 14th September 2022,O'lessos,159.59,140.78,128.74
15th August 2022 - 14th September 2022,Kobujoi,159.99,141.19,129.14
15th August 2022 - 14th September 2022,Serem,160.07,141.27,129.21
15th August 2022 - 14th September 2022,Kabiyet,159.53,140.72,128.67
15th August 2022 - 14th September 2022,Cheptulu,159.95,141.15,129.1
15th August 2022 - 14th September 2022,Songor,160.5,141.69,129.65
15th August 2022 - 14th September 2022,Kapcherop,160.13,141.33,129.28
15th August 2022 - 14th September 2022,Sambalat,160.82,142.01,129.97
15th August 2022 - 14th September 2022,Arror,160.47,141.67,129.61
15th August 2022 - 14th September 2022,Tot,160.68,141.87,129.82
